period,start,end,n_months,actual_mean_inflation,counterfactual_mean_inflation,mean_actual_minus_cf_gap,median_actual_minus_cf_gap,max_actual_minus_cf_gap,mean_treatment_intensity
Pre-inflation-targeting / weak credibility,2005-01-01,2015-12-01,132,14.090510945317789,7.584938192170517,6.505572753147272,4.025603698864423,59.047620883031406,0.4181818181818182
2014–2015 peg collapse and credibility shock,2014-02-01,2015-12-01,23,31.5965266205013,2.8934851831299744,28.70304143737133,26.193385840655864,59.047620883031406,1.0
Inflation-targeting normal period,2016-01-01,2021-12-01,72,10.064139602231156,5.606517067696059,4.457622534535096,3.1752228668841997,37.17698071225959,0.75
Wartime / exceptional regime,2022-02-01,2025-12-01,47,13.244658916908087,18.86735446824345,-5.622695551335368,-3.5275451570143233,6.541543164262698,0.5457446808510636
