p,AIC,BIC,nobs,n_params
6,807.7551093371046,863.8404139120224,246,17
5,815.4917916151884,864.6232283279801,247,15
4,819.6802538874193,861.8413988413992,248,13
3,860.1612677628373,895.3357967274843,249,11
2,919.4359205037533,947.6076078466513,250,9
1,1023.8389339635205,1044.9916515983111,251,7
