year,pi_ukr,pi_ea,theta,gdp_growth_ukr,gdp_growth_ea
2001,12.254203302015869,2.953186947776048,0.20000000000000004,8.80000000367222,2.18509855153397
2002,0.77468983973982,2.713892791379463,0.20000000000000004,5.33964720719075,0.946766858097888
2003,5.234339232710462,2.3256326572539674,0.20000000000000004,9.51660986436364,0.75319113715031
2004,9.018945228607285,2.0324902429809297,0.20000000000000004,11.7953525281136,2.31187462582069
2005,13.551004306601603,2.154768834947344,0.20000000000000004,3.07123039245209,1.77166717086934
2006,9.063832435315529,2.2772516137028305,0.20000000000000004,7.57142076322967,3.32457136193729
2007,12.783043255367696,2.1673533151976536,0.20000000000000004,8.21584445165715,3.01116848351764
2008,25.263648436028863,3.4427369793534903,0.4166666666666667,2.24349159628288,0.410531246374063
2009,16.02874547996209,0.23841397735166003,0.85,-15.1364679101502,-4.48276627207102
2010,9.381665251911684,1.6095306751123521,0.20000000000000004,4.09200436668087,2.11823129195227
2011,7.999350344551762,2.8955047067922552,0.20000000000000004,5.44528081048476,1.7775447306567
2012,0.5830003128521731,2.522396609151242,0.20000000000000004,0.152314967200653,-0.920856755560266
2013,-0.26002646013525604,1.2855892088571077,0.20000000000000004,0.045439094492707,-0.166724880410968
2014,12.103507888820937,0.3836044655267621,0.9333333333333332,-10.0788949840953,1.45587546223307
2015,48.49784914721861,0.10229741430095639,1.0,-9.7729872128676,2.14365367393994
2016,14.922775064381845,0.3471304831002784,0.75,2.44098194492067,1.80158112775391
2017,14.44552994263415,1.4442217133319029,0.75,2.35997228099491,2.62262590499378
2018,11.007050651392804,1.5833978612408606,0.75,3.48836234022659,1.77991130879937
2019,7.922507995071766,1.1187999151312609,0.75,3.19950386354134,1.62263181033828
2020,2.7382849990985636,0.19795627884952238,0.75,-3.75281793983162,-6.05674425052126
2021,9.348688960807804,2.3219847955681394,0.75,3.44562065945944,6.43713755486188
2022,20.047763787286172,8.583965170323074,0.4583333333333333,-28.7585842155085,3.6592192433758
2023,13.374790034025397,5.150342702049233,0.4416666666666667,5.53473354963334,0.473405522226571
2024,6.487393784682592,2.4516092405076138,0.65,2.9138222142611,0.911910157337687
