year,pi_ukr,pi_ea,gdp_growth_ukr,gdp_growth_ea,pi_bq_cf,gdp_growth_bq_cf,ukr_supply_shock,ukr_demand_shock,ea_supply_shock,ea_demand_shock,ea_demand_scaled,cf_supply_shock,cf_demand_shock
2001,12.254203302015869,2.953186947776048,8.80000000367222,2.18509855153397,12.254203302015869,8.80000000367222,,,,,,,
2002,0.77468983973982,2.713892791379463,5.33964720719075,0.946766858097888,0.77468983973982,5.33964720719075,,,,,,,
2003,5.234339232710462,2.3256326572539674,9.51660986436364,0.75319113715031,8.628152343570015,9.58081701963629,0.9052361095880149,-0.003357265042998266,-0.10266584327012081,0.3049448227739046,0.36667978905895954,0.9052361095880149,0.36667978905895954
2004,9.018945228607285,2.0324902429809297,11.7953525281136,2.31187462582069,0.16087682721263974,11.566809825827615,1.1237273340557417,0.5468712464516231,0.43408780568371325,-0.3904848499078664,-0.46953708245473674,1.1237273340557417,-0.46953708245473674
2005,13.551004306601603,2.154768834947344,3.07123039245209,1.77166717086934,4.2244851035331585,3.0508023691320405,0.19377469510735917,0.6057655809903121,0.29780414007733214,-0.233369350916523,-0.2806141241831888,0.19377469510735917,-0.2806141241831888
2006,9.063832435315529,2.2772516137028305,7.57142076322967,3.32457136193729,7.12704294998143,7.710192434825782,0.7307559907297965,0.07970063403492816,0.9511925804784299,0.009514339613506905,0.011440482939769911,0.7307559907297965,0.011440482939769911
2007,12.783043255367696,2.1673533151976536,8.21584445165715,3.01116848351764,1.8887678040973022,8.05340139017016,0.7582163050808833,0.6793150206827347,0.9787613125383067,-0.3952544909659333,-0.475272319935242,0.7582163050808833,-0.475272319935242
2008,25.263648436028863,3.4427369793534903,2.24349159628288,0.410531246374063,28.040696991102237,2.4939173148156883,0.11006294786684097,1.696574677348457,-0.2050515670621337,1.7987024893237586,2.162843242805503,0.11006294786684097,2.162843242805503
2009,16.02874547996209,0.23841397735166003,-15.1364679101502,-4.48276627207102,11.800824171095314,-15.256321267470492,-1.6405761254724085,-0.46810035826247204,-1.9023577846600304,-0.8029795189555347,-0.9655397915956236,-1.6405761254724085,-0.9655397915956236
2010,9.381665251911684,1.6095306751123521,4.09200436668087,2.11823129195227,24.75221762660351,4.456720402137057,0.4663624869910032,-0.5014016259933904,-0.33209403700957396,1.028336762050421,1.2365197859738488,0.4663624869910032,1.2365197859738488
2011,7.999350344551762,2.8955047067922552,5.44528081048476,1.7775447306567,-3.1882936022952943,4.961285925744606,0.4958370634553192,-0.056388387996160985,-0.22772140819320752,-1.2503487984907429,-1.5034773488207027,0.4958370634553192,-1.5034773488207027
2012,0.5830003128521731,2.522396609151242,0.152314967200653,-0.920856755560266,13.27897036340487,0.5796736060379613,-0.055322230697368864,-1.06715634841735,-0.7560408673125614,0.39676519662664483,0.477088862442706,-0.055322230697368864,0.477088862442706
2013,-0.26002646013525604,1.2855892088571077,0.045439094492707,-0.166724880410968,9.163449508564103,0.0051537440924214195,-0.05147620238884937,-1.1752928844894315,-0.5646562980198493,-0.2764367767705265,-0.3324003932000169,-0.05147620238884937,-0.3324003932000169
2014,12.103507888820937,0.3836044655267621,-10.0788949840953,1.45587546223307,-0.22201348741922722,-10.492400383335463,-1.1405807247913062,-0.3251276375985837,-0.0006972029311198217,-1.5093675130480135,-1.8149334566904258,-1.1405807247913062,-1.8149334566904258
2015,48.49784914721861,0.10229741430095639,-9.7729872128676,2.14365367393994,2.6038025759912706,-10.428991772167757,-1.102387619394009,3.218137487475353,0.3869712149288609,-1.3361059375426871,-1.606595707649773,-1.102387619394009,-1.606595707649773
2016,14.922775064381845,0.3471304831002784,2.44098194492067,1.80158112775391,5.792497510441152,3.103314147610955,0.3179458518741332,-0.3319765177675193,0.31591898247323746,-0.5306562538975055,-0.6380856755394835,0.3179458518741332,-0.6380856755394835
