,coef,std_err_HAC,t,p_value
const,0.1206432542554822,0.16382394218493687,0.7364201632951242,0.46147503753360297
pi_lag1,1.5855102403891361,0.08584808025064686,18.46879086591094,3.682400400797213e-76
pi_lag2,-0.6217454929697873,0.15880009405530865,-3.9152715662324415,9.030250800416531e-05
pi_lag3,-0.06126517890259836,0.18136793821620542,-0.3377949791189954,0.7355176938068188
pi_lag4,-0.01559994311540025,0.08420024916756397,-0.1852719352926777,0.8530157493308556
pi_lag5,0.18345626251826386,0.09439883147483032,1.9434166678978335,0.05196583498310983
pi_lag6,-0.1256758071450339,0.05661868133754474,-2.2196879930104676,0.026439954461601033
dep_lag0,0.020228433156275455,0.009182429861302067,2.2029499230399856,0.027598278368115493
dep_lag1,0.042129782558631035,0.012577880130327727,3.3495137592421393,0.0008095353484178544
dep_lag2,0.03245337164284709,0.018196860999921217,1.7834598859104103,0.07451147229895459
dep_lag3,-0.1423447188721697,0.01447257664479814,-9.835478668778203,7.919011978625657e-23
dep_lag4,0.09642461169537649,0.014781748935907054,6.523220771335579,6.881345838897397e-11
dep_lag5,-0.018735462402888287,0.01901888004324538,-0.9850980899131465,0.3245758915237047
dep_lag6,-0.006313787622485335,0.011929479428462083,-0.5292592740821124,0.5966256030983177
anchor,0.448675997991135,0.35695459424206805,1.2569553809604879,0.20876979289708997
anchor_lag1,-0.2868262168214487,0.3422874019562383,-0.8379689558604312,0.4020481390221191
brent_control,0.0,0.0,,
