economy,variable,horizon_years,supply_shock_share_pct,demand_shock_share_pct
Ukraine,output_growth,1,99.96622218888649,0.03377781111350504
Ukraine,inflation,1,17.878276505609424,82.1217234943906
Ukraine,output_growth,3,99.94328080224219,0.05671919775781601
Ukraine,inflation,3,23.411020068943046,76.58897993105695
Ukraine,output_growth,5,99.94325608567486,0.05674391432513335
Ukraine,inflation,5,23.416071005846092,76.58392899415392
Ukraine,output_growth,10,99.94325606453741,0.05674393546258147
Ukraine,inflation,10,23.416075322135555,76.58392467786446
Euro Area,output_growth,1,97.53851126884956,2.461488731150429
Euro Area,inflation,1,17.151621348180853,82.84837865181915
Euro Area,output_growth,3,96.80136894176898,3.1986310582310136
Euro Area,inflation,3,33.819562710352855,66.18043728964713
Euro Area,output_growth,5,96.80478968320152,3.195210316798491
Euro Area,inflation,5,37.862934986565286,62.13706501343473
Euro Area,output_growth,10,96.79691437341384,3.2030856265861525
Euro Area,inflation,10,37.92817974054149,62.07182025945851
